id,label,cap-shape,cap-surface,bruises,odor,gill-attachment,gill-spacing,gill-size,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,veil-type,ring-number,ring-type,spore-print-color,population,habitat,cap-color-rate,gill-color-rate,veil-color-rate,stalk-color-above-ring-rate,stalk-color-below-ring-rate
24,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,5.0,1.0,1.0,5.0
25,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,6.0,1.0,1.0,4.0
26,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,6.0,1.0,2.0,5.0
27,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,5.0,1.0,3.0,1.0
28,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,6.0,1.0,2.0,5.0
29,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,2.0,1.0
30,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,5.0,1.0,2.0,1.0
31,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,2.0,4.0
32,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,3.0,5.0
33,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,1.0,1.0,1.0,5.0
34,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,6.0,1.0,1.0,4.0
35,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,6.0,1.0,2.0,4.0
36,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,5.0,1.0,3.0,4.0
37,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,4.0,1.0,1.0,5.0
38,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5.0,6.0,1.0,1.0,5.0
39,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,5.0,1.0,1.0,4.0
40,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,1.0,1.0,2.0,5.0
41,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,6.0,1.0,2.0,1.0
42,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,6.0,1.0,1.0,5.0
43,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5.0,6.0,1.0,2.0,1.0
44,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,5.0,1.0,1.0,1.0
45,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,4.0,1.0,2.0,5.0
46,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,6.0,1.0,3.0,5.0
47,e,x,f,f,n,f,w,b,t,e,s,f,p,o,e,n,s,g,3.0,7.0,1.0,1.0,1.0
48,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,5.0,1.0,3.0,4.0
49,e,f,s,f,n,f,w,b,t,e,f,f,p,o,e,n,s,g,4.0,1.0,1.0,1.0,1.0
50,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,6.0,1.0,3.0,1.0
51,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,5.0,1.0,1.0,1.0
52,p,f,y,t,p,f,c,n,e,e,s,s,p,o,p,n,s,u,3.0,5.0,1.0,1.0,1.0
53,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,1.0,1.0,1.0,4.0
54,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,5.0,1.0,1.0,1.0
55,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,5.0,1.0,3.0,4.0
56,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,1.0,1.0,2.0,4.0
57,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,1.0,1.0,3.0,1.0
58,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,4.0,1.0,2.0,4.0
59,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,1.0,1.0,2.0,1.0
60,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,1.0,1.0,2.0,4.0
61,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,1.0,1.0,1.0,1.0
62,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,4.0,1.0,3.0,1.0
63,e,x,y,t,n,f,,,,,,,,,,,,,4.0,,,,
64,e,x,y,t,n,f,,,,,,,,,,,,,1.0,,,,
65,e,x,f,t,n,f,,,,,,,,,,,,,5.0,,,,
66,e,f,f,t,n,f,,,,,,,,,,,,,1.0,,,,
67,e,x,f,t,n,f,,,,,,,,,,,,,5.0,,,,
68,e,f,s,f,n,f,,,,,,,,,,,,,3.0,,,,
69,e,x,y,t,n,f,,,,,,,,,,,,,1.0,,,,
70,e,x,f,t,n,f,,,,,,,,,,,,,4.0,,,,
71,e,x,f,t,n,f,,,,,,,,,,,,,1.0,,,,
72,e,x,f,t,n,f,,,,,,,,,,,,,5.0,,,,
73,e,f,f,t,n,f,,,,,,,,,,,,,1.0,,,,
74,e,x,f,t,n,f,,,,,,,,,,,,,1.0,,,,
75,e,x,y,t,n,f,,,,,,,,,,,,,1.0,,,,
76,p,f,s,t,p,f,,,,,,,,,,,,,3.0,,,,
77,e,x,f,t,n,f,,,,,,,,,,,,,4.0,,,,
78,e,f,s,f,n,f,,,,,,,,,,,,,3.0,,,,
79,e,x,s,f,n,f,,,,,,,,,,,,,4.0,,,,
80,e,x,f,t,n,f,,,,,,,,,,,,,4.0,,,,
81,e,f,f,t,n,f,,,,,,,,,,,,,1.0,,,,
82,e,x,f,t,n,f,,,,,,,,,,,,,5.0,,,,
83,e,x,y,t,n,f,,,,,,,,,,,,,4.0,,,,
84,e,f,f,t,n,f,,,,,,,,,,,,,1.0,,,,
85,e,x,f,t,n,f,,,,,,,,,,,,,1.0,,,,
86,p,x,f,f,f,f,,,,,,,,,,,,,4.0,,,,
87,e,x,y,t,n,f,,,,,,,,,,,,,5.0,,,,
88,e,x,f,f,n,f,,,,,,,,,,,,,1.0,,,,
89,p,x,s,t,p,f,,,,,,,,,,,,,3.0,,,,
90,e,x,y,t,n,f,,,,,,,,,,,,,4.0,,,,
91,e,f,f,t,n,f,,,,,,,,,,,,,1.0,,,,
92,e,x,f,t,n,f,,,,,,,,,,,,,1.0,,,,
93,e,x,y,t,n,f,,,,,,,,,,,,,4.0,,,,
94,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,5.0,1.0,2.0,5.0
95,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,6.0,1.0,2.0,5.0
96,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,6.0,1.0,3.0,1.0
97,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,6.0,1.0,1.0,4.0
98,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,1.0,1.0,3.0,5.0
99,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,6.0,1.0,3.0,4.0
100,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,1.0,1.0,1.0,1.0
101,p,x,s,t,p,f,c,n,e,e,s,s,p,o,p,k,v,g,3.0,1.0,1.0,1.0,1.0
102,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,1.0,1.0,1.0,1.0
103,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,4.0,1.0,3.0,5.0
104,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,5.0,1.0,1.0,5.0
105,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,4.0,1.0,2.0,5.0
106,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,5.0,1.0,1.0,1.0
107,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,5.0,1.0,3.0,1.0
108,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,5.0,1.0,1.0,1.0
109,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,5.0,1.0,3.0,1.0
110,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,1.0,1.0,2.0,4.0
111,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,4.0,1.0,1.0,1.0
112,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,4.0,1.0,1.0,5.0
113,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,4.0,1.0,2.0,5.0
114,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,1.0,1.0,2.0,5.0
115,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,6.0,1.0,2.0,5.0
116,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,4.0,1.0,2.0,5.0
117,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,5.0,1.0,3.0,5.0
118,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,6.0,1.0,3.0,1.0
119,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,4.0,1.0,2.0,4.0
120,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,4.0,1.0,2.0,4.0
121,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,6.0,1.0,2.0,4.0
122,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,4.0,1.0,3.0,1.0
123,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,4.0,1.0,3.0,5.0
124,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,1.0,1.0,2.0,5.0
125,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,6.0,1.0,1.0,1.0
126,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,4.0,1.0,3.0,4.0
127,p,x,s,f,c,f,c,n,e,b,s,s,p,o,p,k,v,d,6.0,2.0,1.0,1.0,1.0
128,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,6.0,1.0,2.0,5.0
129,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,5.0,1.0,2.0,4.0
130,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,5.0,1.0,2.0,5.0
131,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5.0,6.0,1.0,2.0,4.0
132,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,1.0,1.0,1.0,4.0
133,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,5.0,1.0,1.0,4.0
134,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,1.0,1.0,2.0,1.0
135,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,4.0,1.0,3.0,1.0
136,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,6.0,1.0,2.0,4.0
137,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,4.0,1.0,1.0,4.0
138,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5.0,6.0,1.0,1.0,4.0
139,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,4.0,1.0,2.0,4.0
140,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,6.0,1.0,3.0,1.0
141,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,6.0,1.0,1.0,1.0
142,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,5.0,1.0,2.0,5.0
143,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,1.0,1.0,2.0,1.0
144,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,y,g,4.0,7.0,1.0,4.0,6.0
145,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,6.0,1.0,1.0,5.0
146,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,4.0,1.0,3.0,5.0
147,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,2.0,4.0
148,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,4.0,1.0,1.0,1.0
149,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,4.0,1.0,2.0,1.0
150,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,1.0,1.0,1.0,1.0
151,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,4.0,1.0,2.0,1.0
152,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,5.0,1.0,2.0,5.0
153,,x,f,f,n,f,w,b,t,e,s,f,p,o,e,n,a,g,4.0,3.0,1.0,1.0,1.0
154,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,1.0,1.0,1.0,1.0
155,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,4.0,1.0,1.0,5.0
156,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,4.0,1.0,2.0,5.0
157,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,1.0,1.0,3.0,1.0
158,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,4.0,1.0,1.0,1.0
159,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,4.0,1.0,3.0,4.0
160,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5.0,5.0,1.0,1.0,5.0
161,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,1.0,5.0
162,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,4.0,1.0,1.0,1.0
163,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,1.0,1.0,3.0,1.0
164,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,6.0,1.0,1.0,5.0
165,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,6.0,1.0,2.0,1.0
166,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,4.0,1.0,3.0,4.0
167,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,4.0,1.0,3.0,5.0
168,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,4.0,1.0,2.0,1.0
169,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,6.0,1.0,2.0,5.0
170,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,5.0,1.0,3.0,5.0
171,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,4.0,1.0,1.0,4.0
172,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,4.0,1.0,1.0,4.0
173,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,3.0,4.0
174,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,5.0,1.0,2.0,1.0
175,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,4.0,1.0,1.0,5.0
176,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5.0,1.0,1.0,1.0,5.0
177,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,2.0,4.0
178,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,6.0,1.0,1.0,4.0
179,,f,y,t,p,f,c,n,e,e,s,s,p,o,p,k,s,u,1.0,3.0,1.0,1.0,1.0
180,,x,s,f,n,f,w,b,t,e,f,s,p,o,e,n,s,g,4.0,1.0,1.0,1.0,1.0
181,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,6.0,1.0,3.0,5.0
182,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,1.0,1.0,1.0,4.0
183,,x,s,f,c,f,w,n,e,b,s,s,p,o,p,n,s,d,6.0,6.0,1.0,1.0,1.0
184,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,5.0,1.0,2.0,5.0
185,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,4.0,1.0,1.0,4.0
186,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,4.0,1.0,1.0,1.0
187,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,6.0,1.0,2.0,4.0
188,,x,s,f,n,f,w,b,t,e,s,s,p,o,e,n,s,g,3.0,3.0,1.0,1.0,1.0
189,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,4.0,1.0,3.0,5.0
190,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,1.0,1.0,3.0,5.0
191,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,1.0,1.0,2.0,5.0
192,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,1.0,1.0,3.0,1.0
193,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,1.0,1.0,2.0,1.0
194,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,5.0,1.0,1.0,5.0
195,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,4.0,1.0,3.0,5.0
196,,f,y,t,p,f,c,n,e,e,s,s,p,o,p,n,v,u,3.0,4.0,1.0,1.0,1.0
197,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,6.0,1.0,1.0,1.0
198,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,5.0,1.0,3.0,1.0
199,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5.0,1.0,1.0,2.0,5.0
200,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,4.0,1.0,1.0,4.0
201,,f,s,f,n,f,w,b,t,e,f,f,p,o,e,k,s,g,3.0,7.0,1.0,1.0,1.0
202,,x,f,f,n,f,w,b,t,e,f,s,p,o,e,n,a,g,1.0,3.0,1.0,1.0,1.0
203,,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,2.0,5.0
204,,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,1.0,1.0,2.0,4.0
205,,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,4.0,1.0,1.0,4.0
206,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,6.0,1.0,2.0,5.0
207,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,4.0,1.0,2.0,1.0
208,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,5.0,1.0,1.0,5.0
209,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,5.0,1.0,1.0,1.0
210,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,1.0,4.0
211,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5.0,1.0,1.0,1.0,5.0
212,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5.0,5.0,1.0,2.0,5.0
213,p,x,s,f,c,f,w,n,e,b,s,s,p,o,p,n,s,d,3.0,4.0,1.0,1.0,1.0
214,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,6.0,1.0,2.0,5.0
215,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,4.0,1.0,2.0,5.0
216,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,6.0,1.0,1.0,1.0
217,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,4.0,1.0,2.0,4.0
218,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,5.0,1.0,3.0,5.0
219,e,f,s,f,n,f,w,b,t,e,f,s,p,o,e,n,s,g,3.0,1.0,1.0,1.0,1.0
220,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,6.0,1.0,2.0,5.0
221,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,4.0,1.0,2.0,5.0
222,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,1.0,1.0,1.0,4.0
223,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,4.0,1.0,1.0,4.0
224,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,1.0,1.0,3.0,1.0
225,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,1.0,1.0,1.0,5.0
226,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,1.0,1.0,1.0,1.0
227,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,6.0,1.0,2.0,1.0
228,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,5.0,1.0,1.0,1.0
229,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,4.0,1.0,1.0,5.0
230,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1.0,4.0,1.0,2.0,1.0
231,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,1.0,1.0,1.0,5.0
232,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,5.0,1.0,2.0,5.0
233,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,1.0,1.0,2.0,5.0
234,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,y,p,4.0,2.0,1.0,5.0,6.0
235,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,6.0,1.0,2.0,5.0
236,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,6.0,1.0,3.0,4.0
237,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,v,d,4.0,7.0,1.0,2.0,6.0
238,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,1.0,1.0,1.0,1.0
239,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,1.0,1.0,1.0,4.0
240,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,y,d,4.0,7.0,1.0,4.0,7.0
241,p,x,f,f,c,f,w,n,e,b,s,s,p,o,p,n,s,d,6.0,1.0,1.0,1.0,1.0
242,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4.0,6.0,1.0,1.0,1.0
243,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,4.0,1.0,2.0,4.0
244,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,6.0,1.0,1.0,5.0
245,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,5.0,1.0,1.0,5.0
246,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,1.0,1.0,1.0,4.0
247,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,1.0,1.0,3.0,4.0
248,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4.0,5.0,1.0,1.0,5.0
249,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,4.0,1.0,3.0,5.0
